Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
09-08-2019,Liverpool,Arsenal,3.0,1.0,H,1.0,0.0,H,5.0,3.0,8.0,5.0,1.0,1.0,0.0,0.0,1.5,4.6,6.0,1.47,4.75,6.5,1.0
08-24-2019,Liverpool,Newcastle,3.0,1.0,H,2.0,1.0,H,9.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.14,8.5,17.0,1.14,8.0,21.0,1.0
09-14-2019,Liverpool,Leicester,2.0,1.0,H,1.0,0.0,H,8.0,1.0,9.0,17.0,1.0,4.0,0.0,0.0,1.44,4.75,7.0,1.44,4.6,7.5,1.0
05-10-2019,Liverpool,Tottenham,2.0,1.0,H,0.0,1.0,A,13.0,4.0,9.0,11.0,3.0,3.0,0.0,0.0,1.5,4.33,6.5,1.52,4.4,6.0,1.0
10-27-2019,Liverpool,Man City,3.0,1.0,H,2.0,0.0,H,5.0,3.0,10.0,5.0,0.0,2.0,0.0,0.0,2.5,3.6,2.62,2.55,3.6,2.62,1.0
10-11-2019,Liverpool,Brighton,2.0,1.0,H,2.0,0.0,H,7.0,5.0,3.0,10.0,0.0,0.0,1.0,0.0,1.18,7.0,15.0,1.2,6.5,15.0,1.0
11-30-2019,Liverpool,Everton,5.0,2.0,H,4.0,2.0,H,5.0,4.0,13.0,17.0,1.0,2.0,0.0,0.0,1.36,5.0,8.5,1.36,5.0,8.5,1.0
04-12-2019,Liverpool,Watford,2.0,0.0,H,1.0,0.0,H,6.0,2.0,8.0,6.0,2.0,1.0,0.0,0.0,1.16,7.5,17.0,1.15,7.5,19.0,1.0
12-14-2019,Liverpool,Wolves,1.0,0.0,H,1.0,0.0,H,3.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,1.25,5.75,12.0,1.27,5.8,11.0,1.0
12-29-2019,Liverpool,Sheffield United,2.0,0.0,H,1.0,0.0,H,7.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,1.2,6.5,13.0,1.22,6.0,15.0,1.0
02-01-2020,Liverpool,Man United,2.0,0.0,H,1.0,0.0,H,5.0,4.0,7.0,10.0,1.0,3.0,0.0,0.0,1.36,5.25,8.0,1.35,5.0,9.0,1.0
01-19-2020,Liverpool,Southampton,4.0,0.0,H,0.0,0.0,D,9.0,4.0,9.0,15.0,0.0,2.0,0.0,0.0,1.25,6.0,12.0,1.27,5.8,11.0,1.0
01-02-2020,Liverpool,West Ham,3.0,2.0,H,1.0,1.0,D,7.0,4.0,4.0,10.0,0.0,3.0,0.0,0.0,1.16,8.0,15.0,1.17,7.5,17.0,1.0
02-24-2020,Liverpool,Bournemouth,2.0,1.0,H,2.0,1.0,H,6.0,4.0,10.0,12.0,0.0,1.0,0.0,0.0,1.22,6.5,13.0,1.25,6.0,12.0,1.0
07-03-2020,Liverpool,Crystal Palace,4.0,0.0,H,2.0,0.0,H,7.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.22,6.5,13.0,1.22,6.0,15.0,1.0
06-24-2020,Liverpool,Aston Villa,2.0,0.0,H,0.0,0.0,D,4.0,3.0,18.0,8.0,1.0,1.0,0.0,0.0,1.33,5.5,8.5,1.32,5.5,9.0,1.0
05-07-2020,Liverpool,Burnley,1.0,1.0,D,1.0,0.0,H,9.0,2.0,7.0,4.0,1.0,2.0,0.0,0.0,1.22,6.5,12.0,1.24,6.5,12.0,0.0
11-07-2020,Liverpool,Chelsea,5.0,3.0,H,3.0,1.0,H,7.0,5.0,8.0,11.0,1.0,0.0,0.0,0.0,2.0,3.75,3.5,2.05,3.7,3.4,1.0
07-22-2020,,,,,,,,,,,,,,,,,,,,,,,
