Date,HomeTeam,AwayTeam,FT_HomeGoals,FT_AwayGoals,FT_Result,HT_HomeGoals,HT_AwayGoals,HT_Result,HomeShotsonTarget,AwayShotsonTarget,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWin_Odds,Bet365_Draw_Odds,Bet365_AwayWin_Odds,WilliamHill_HomeWin_Odds,WilliamHill_HomeDraw_Odds,WilliamHill_AwayWin_Odds,Result
8/25/2019,Wolves,Burnley,2,5,A,0,3,A,4,6,8,11,1,2,0,0,1.85,3.4,4.5,1.83,3.4,4.8,0
9/14/2019,Wolves,Chelsea,2,0,H,1,0,H,2,5,5,6,0,1,0,0,2.9,3.3,2.5,3,3.3,2.4,1
9/28/2019,Wolves,Watford,1,1,D,0,0,D,1,5,10,17,3,2,0,0,1.85,3.4,4.5,1.85,3.5,4.5,0
10/19/2019,Wolves,Southampton,2,1,H,1,0,H,5,4,17,8,4,3,0,0,1.8,3.6,4.5,1.83,3.5,4.5,1
10/11/2019,Wolves,Aston Villa,1,1,D,0,1,A,3,4,12,18,1,4,0,0,1.9,3.5,4.2,1.88,3.6,4.2,0
1/12/2019,Wolves,Sheffield United,2,0,H,1,0,H,7,3,8,9,1,2,0,0,1.9,3.5,4.2,1.91,3.4,4.33,1
4/12/2019,Wolves,West Ham,1,2,A,0,1,A,5,5,14,10,4,4,0,0,1.75,3.7,4.75,1.75,3.7,4.8,0
12/15/2019,Wolves,Tottenham,3,2,H,0,1,A,8,3,7,13,0,1,0,1,3.25,3.4,2.25,3.2,3.4,2.25,1
12/27/2019,Wolves,Man City,1,1,D,1,1,D,4,1,13,12,0,3,0,0,8.5,5,1.36,8,5,1.38,0
11/1/2020,Wolves,Newcastle,1,2,A,0,1,A,3,6,6,11,0,1,0,0,1.44,4.5,7.5,1.44,4.2,8.5,0
1/23/2020,Wolves,Liverpool,0,0,D,0,0,D,3,3,13,10,2,2,0,1,5.75,3.8,1.61,5.8,3.9,1.62,0
2/14/2020,Wolves,Leicester,3,0,H,2,0,H,6,4,11,6,2,3,0,0,2.5,3.3,2.87,2.55,3.2,2.88,1
2/23/2020,Wolves,Norwich,0,0,D,0,0,D,1,1,4,7,1,3,0,0,1.5,4.2,7,1.52,4.2,6.5,0
7/3/2020,Wolves,Brighton,1,0,H,0,0,D,2,0,11,11,3,3,0,0,1.61,3.9,5.75,1.63,3.9,5.5,1
6/24/2020,Wolves,Bournemouth,0,2,A,0,1,A,1,5,6,11,2,4,0,0,1.55,4,6,1.55,4,6.5,0
4/7/2020,Wolves,Arsenal,3,0,H,1,0,H,7,2,9,9,0,2,0,0,2.25,3.4,3.25,2.25,3.3,3.3,1
12/7/2020,Wolves,Everton,2,0,H,1,0,H,5,3,11,15,2,1,0,0,2.05,3.3,3.8,2.05,3.2,4,1
